probRedL	 ambLevelL	 exanteL	 probRedR	 ambLevelR	 exanteR	 outcomeWinL	 outcomeLossL	 outcomeWinR	 outcomeLossR	 payDownUpL	 payDownUpR	 shiftLR	 trialCode
0.25	0.75	0	0.5	0	0	30	0	10	0	1	1	2	174
0.13	0.75	1	0.5	0	0	50	0	10	0	2	1	1	93
0.75	0.75	1	0.5	0	0	0	15	0	10	2	2	2	184
0.13	0.75	1	0.5	0	0	15	0	10	0	1	1	2	86
0.87	0.75	0	0.5	0	0	0	30	0	10	1	2	2	80
0.38	0.5	0	0.5	0	0	15	0	10	0	2	1	2	242
0.38	0	0	0.5	0	0	50	0	10	0	1	2	2	202
0.62	0.75	0	0.5	0	0	0	30	0	10	2	1	2	272
0.38	0.5	0	0.5	0	0	30	0	10	0	2	1	1	245
0.62	0.5	0	0.5	0	0	0	50	0	10	1	1	1	251
0.75	0.75	0	0.5	0	0	0	15	0	10	2	2	1	171
0.38	0.25	0	0.5	0	0	15	0	10	0	2	1	1	217
0.62	0.5	1	0.5	0	0	0	15	0	10	2	1	1	255
0.38	0.25	1	0.5	0	0	15	0	10	0	2	1	2	230
0.25	0.75	0	0.5	0	0	50	0	10	0	2	1	1	177
0.75	0.5	0	0.5	0	0	0	50	0	10	1	1	1	155
0.25	0	0	0.5	0	0	30	0	10	0	1	2	2	102
0.62	0.75	1	0.5	0	0	0	50	0	10	1	2	2	288
0.87	0.75	0	0.5	0	0	0	15	0	10	2	1	2	76
0.62	0.25	1	0.5	0	0	0	50	0	10	1	2	2	240
0.38	0.25	1	0.5	0	0	50	0	10	0	1	1	2	238
0.62	0	0	0.5	0	0	0	50	0	10	1	1	1	203
0.87	0.75	1	0.5	0	0	0	15	0	10	1	1	1	87
0.13	0	0	0.5	0	0	30	0	10	0	1	2	1	5
0.25	0.5	0	0.5	0	0	30	0	10	0	1	2	2	150
0.38	0	0	0.5	0	0	15	0	10	0	2	2	2	194
0.13	0.75	0	0.5	0	0	15	0	10	0	1	1	1	73
0.38	0.75	0	0.5	0	0	15	0	10	0	2	2	2	266
0.75	0.75	1	0.5	0	0	0	50	0	10	2	1	2	192
0.87	0.75	1	0.5	0	0	0	30	0	10	2	2	1	91
0.62	0	0	0.5	0	0	0	30	0	10	1	2	2	200
0.38	0.75	1	0.5	0	0	50	0	10	0	1	1	1	285
0.38	0.75	1	0.5	0	0	30	0	10	0	1	2	2	282
0.87	0.75	1	0.5	0	0	0	50	0	10	1	1	2	96
0.25	0	0	0.5	0	0	15	0	10	0	1	1	2	98
0.62	0.75	1	0.5	0	0	0	30	0	10	1	2	2	284
0.75	0	0	0.5	0	0	0	15	0	10	1	1	2	100
0.75	0.5	1	0.5	0	0	0	30	0	10	2	2	1	163
0.87	0	0	0.5	0	0	0	30	0	10	1	2	2	8
0.38	0.5	0	0.5	0	0	50	0	10	0	1	1	2	250
0.87	0.75	0	0.5	0	0	0	50	0	10	2	2	2	84
0.75	0.75	0	0.5	0	0	0	30	0	10	1	2	1	175
0.25	0.5	1	0.5	0	0	50	0	10	0	2	1	1	165
0.38	0.75	0	0.5	0	0	50	0	10	0	2	2	2	274
0.75	0.5	0	0.5	0	0	0	15	0	10	2	1	2	148
0.38	0	0	0.5	0	0	30	0	10	0	1	2	1	197
0.75	0.5	1	0.5	0	0	0	50	0	10	1	2	2	168
0.25	0.75	1	0.5	0	0	50	0	10	0	2	2	1	189
0.62	0.5	0	0.5	0	0	0	15	0	10	1	1	1	243
0.38	0.25	1	0.5	0	0	30	0	10	0	2	1	2	234
0.75	0.75	0	0.5	0	0	0	50	0	10	1	2	1	179
0.75	0	0	0.5	0	0	0	50	0	10	1	1	2	108
0.13	0	0	0.5	0	0	50	0	10	0	2	1	2	10
0.38	0.5	1	0.5	0	0	50	0	10	0	2	1	1	261
0.62	0.25	1	0.5	0	0	0	30	0	10	1	1	2	236
0.62	0.5	1	0.5	0	0	0	50	0	10	1	1	1	263
0.75	0.5	1	0.5	0	0	0	15	0	10	2	2	1	159
0.75	0.5	0	0.5	0	0	0	30	0	10	1	2	1	151
